,coherence_norm,style_norm,surprise_norm,human_likeness_norm,distinct_1,rep_uni,self_bleu,H_hum,Creatividad_C
coherence_norm,1.0,0.5315634346886576,0.6520027847457579,0.48237560695643816,-0.5281359579759305,0.5281359579759305,0.3947423435033415,0.838997767103811,0.9145574718634526
style_norm,0.5315634346886576,1.0,0.5064820649375715,0.27911103032236684,-0.2562309968674503,0.2562309968674503,0.19840520159871208,0.6688404160968774,0.6476062157150057
surprise_norm,0.6520027847457579,0.5064820649375715,1.0,0.35114007558723465,-0.4127614015453851,0.4127614015453851,0.404711181879829,0.794366012083626,0.7646836625507621
human_likeness_norm,0.48237560695643816,0.27911103032236684,0.35114007558723465,1.0,-0.31337061669897726,0.31337061669897726,0.16957670887896478,0.7560595179409502,0.6997108851600407
distinct_1,-0.5281359579759305,-0.2562309968674503,-0.4127614015453851,-0.31337061669897726,1.0,-1.0,-0.6104591867059561,-0.49544146556381574,-0.4802925806715634
rep_uni,0.5281359579759305,0.2562309968674503,0.4127614015453851,0.31337061669897726,-1.0,1.0,0.6104591867059561,0.49544146556381574,0.4802925806715634
self_bleu,0.3947423435033415,0.19840520159871208,0.404711181879829,0.16957670887896478,-0.6104591867059561,0.6104591867059561,1.0,0.3852879157520773,0.3690358289522701
H_hum,0.838997767103811,0.6688404160968774,0.794366012083626,0.7560595179409502,-0.49544146556381574,0.49544146556381574,0.3852879157520773,1.0,0.9809949421804605
Creatividad_C,0.9145574718634526,0.6476062157150057,0.7646836625507621,0.6997108851600407,-0.4802925806715634,0.4802925806715634,0.3690358289522701,0.9809949421804605,1.0
