,coherence_norm,style_norm,surprise_norm,human_likeness_norm,distinct_1,rep_uni,self_bleu,H_hum,Creatividad_C
coherence_norm,0.07158821202531644,0.02119758702531646,0.04315664556962027,0.046024525316455726,-0.011915028236811353,0.011915028236811353,0.005616414777930673,0.04549174248417723,0.048762336227399415
style_norm,0.02119758702531646,0.031623318829113935,0.02023338607594937,0.018502768987341767,-0.0033381593680194893,0.0033381593680194897,0.0013172485889497894,0.022889265229430376,0.020505056901301714
surprise_norm,0.04315664556962027,0.02023338607594937,0.05443037974683546,0.031091772151898754,-0.008486756733829858,0.008486756733829861,0.004141853553097545,0.03722804588607594,0.035632932242756175
human_likeness_norm,0.046024525316455726,0.018502768987341767,0.031091772151898754,0.1357199367088609,-0.008666842408151557,0.008666842408151555,0.002681077001594749,0.057834750791139256,0.04996573658965308
distinct_1,-0.011915028236811353,-0.0033381593680194893,-0.008486756733829858,-0.008666842408151557,0.0037531034838432183,-0.0037531034838432175,-0.0015933396163636596,-0.008101696686703064,-0.00828074696483722
rep_uni,0.011915028236811353,0.0033381593680194897,0.008486756733829861,0.008666842408151555,-0.0037531034838432175,0.0037531034838432183,0.0015933396163636594,0.008101696686703063,0.008280746964837223
self_bleu,0.005616414777930673,0.0013172485889497894,0.004141853553097545,0.002681077001594749,-0.0015933396163636596,0.0015933396163636594,0.0011817337333456372,0.00343914848039319,0.0036211558016161233
H_hum,0.04549174248417723,0.022889265229430376,0.03722804588607594,0.057834750791139256,-0.008101696686703064,0.008101696686703063,0.00343914848039319,0.04086095109770569,0.038716515490277596
Creatividad_C,0.048762336227399415,0.020505056901301714,0.035632932242756175,0.04996573658965308,-0.00828074696483722,0.008280746964837223,0.0036211558016161233,0.038716515490277596,0.03824632155898795
